N0P,222,648,43,1,19:22:55.215103,7
85X59VYH,2122,9929,414,1,13:23:19.68756,6
Y,7232,5984,24,7,06:03:28.879692,10
98B,4642,9482,908,6,01:26:21.578631,4
I6,7962,9287,250,4,05:07:44.6634,4
53LICW0Y,3062,102,18,3,03:59:35.746142,5
UHJ16,8022,10117,245,3,13:23:18.141048,10
40,4152,10969,516,3,07:42:50.431086,2
X,7732,2218,652,2,12:21:00.467303,5
XDCB13NCE,12722,10871,769,7,08:20:38.801879,5
L8,6472,1139,809,5,04:10:29.202818,2
PKPITYE,12012,8314,125,5,20:45:39.922515,1
K0LHELKLP,8092,780,150,7,09:07:58.285153,8
HQPOQ3T,992,2137,888,1,01:17:24.662945,3
8ICT,10712,384,331,7,09:00:55.351716,1
VDS45M8,6082,7639,848,6,07:37:06.606972,10
71PALH5L,3792,7275,578,1,08:31:17.31041,5
5GC3QZZN85,3672,11989,784,1,08:43:10.571968,3
TFCKUN4B,4072,2545,57,5,04:24:05.638357,9
C5ZS2QRI,7152,10482,320,5,00:57:27.516739,5
02UQEDH5QP,9942,12485,397,6,01:02:15.624916,7
GOR885,3782,7981,339,7,22:29:15.268656,6
I,11612,7550,62,2,19:21:48.846436,9
RLYCZZM2D,4392,5141,322,1,18:54:07.208203,4
4A,3822,1123,813,7,17:41:55.463897,8
QF7MP4,4302,12523,389,7,17:51:34.415892,1
7,7932,10104,608,7,13:58:08.898571,4
3O,5602,5265,296,6,15:12:53.335491,6
OL8F,3832,9216,184,6,01:25:09.170703,7
PZKDUH,11552,2075,311,6,11:26:34.062166,2
LMPDBQYW,2572,1779,590,1,17:37:39.885591,6
4HN0B,2612,7716,408,4,21:17:10.854066,6
48P4NYO,1842,11362,112,3,14:20:24.479411,7
KC3NQRZ,8102,3671,956,5,18:27:24.954428,1
WEQD,6582,10485,738,5,05:29:07.742549,5
OO3TK,8702,6131,162,3,15:33:25.89781,4
Y,1502,9681,66,6,14:12:39.538313,9
R7EQG9BCB3,5722,2909,52,6,12:01:22.871416,2
FOE,9012,11610,302,5,06:44:57.227952,7
S,12172,8040,362,4,11:57:37.104807,1
27D,2072,4282,625,3,18:36:49.598281,8
5M2CBS80J,782,3254,344,7,09:19:36.838003,10
S7HS2,532,9444,399,3,01:46:34.279556,3
XYNDPU2H,8492,9031,383,3,21:42:11.741478,7
GYD8L,4802,7817,205,6,18:42:05.823702,8
P1NVGY,2342,6596,168,1,07:02:48.674588,3
LHJ,1242,8272,768,7,07:09:10.237784,2
PN,12342,5998,40,2,09:22:16.492154,1
5S19S5L,8332,11025,198,7,17:33:17.435662,9
FK61,4162,6385,194,5,15:04:22.412031,8
LMV,4082,8221,850,2,06:11:48.342156,8
D5AP6U46MM,422,12488,298,4,19:46:00.612504,2
6GC,7712,5665,429,2,12:33:09.1981,2
4D815GKZQQ,4022,10892,499,6,21:40:51.742034,4
9G0NZVS5,6312,2130,257,1,11:03:55.762144,3
FMKZ2OMGII,6582,9888,126,5,04:29:07.596004,4
XP5J,6722,7837,439,1,21:14:59.29495,4
8G3W7EP6,10022,11625,397,7,05:19:35.523373,6
F,4092,12341,929,5,15:15:10.642031,5
O5QJ,4302,11164,371,4,15:26:03.796539,8
XG,6942,777,342,2,19:08:06.921534,7
FY13SS7TSD,10382,1757,882,2,03:54:46.653109,3
CQ,892,1391,377,6,14:30:45.755386,9
C,2652,8735,579,1,20:07:09.635132,5
D464BL4L4,3872,4879,616,7,04:50:36.063883,3
2NHO7G2F,11992,7723,407,1,16:02:25.051815,5
9QXLOCW2WD,402,11787,395,1,03:05:32.221585,4
TJ2ZYQPI,6072,1766,420,5,05:27:35.196428,4
J8LOIN1TT,8532,3562,571,4,09:06:27.589449,3
NWS,3802,3260,620,7,11:11:07.424946,8
CQHHLD9GI,2842,11090,305,5,20:59:13.769893,6
